الرقم;الشركة الناشئة;الدولة;المجال;وصف النشاط
34;Planet Labs;;تكنولوجيا الفضاء;شبكة أقمار صناعية صغيرة لرصد الأرض وتحليل البيانات البيئية.
35;Rocket Lab;;تكنولوجيا الفضاء;شركة إطلاق أقمار صناعية صغيرة لخدمات الفضاء التجارية.
36;Helion Energy;;الطاقة النظيفة;تطوير مفاعلات اندماج نووي لإنتاج طاقة نظيفة.
37;Form Energy;;تخزين الطاقة;بطاريات طويلة المدى لتخزين الكهرباء المتجددة.
38;Northvolt North America;;بطاريات الليثيوم;تصنيع بطاريات مستدامة للسيارات الكهربائية.
39;LanzaTech;;الوقود الحيوي;تحويل انبعاثات الكربون الصناعية إلى وقود ومواد كيميائية.
40;Pivot Bio;;الزراعة الحيوية;ميكروبات طبيعية لتثبيت النيتروجين بدلاً من الأسمدة الكيميائية.
41;Indigo Agriculture;;الفلاحة الذكية;تطوير حلول بيولوجية وبيانات لتحسين إنتاجية المحاصيل.
42;FarmWise;;الزراعة الذكية;روبوتات زراعية تعتمد الرؤية الحاسوبية لإزالة الأعشاب الضارة.
43;Bowery Farming;;الزراعة العمودية;مزارع داخلية تعتمد الذكاء الاصطناعي للتحكم في الإنتاج الزراعي.
44;AeroFarms;;الزراعة العمودية;إنتاج محاصيل داخلية باستخدام تقنيات الاستشعار والتحكم البيئي.
45;Plenty;;الفلاحة الحضرية;مزارع عمودية عالية الإنتاجية باستخدام إضاءة LED والتحكم الذكي.
46;eFishery North America;;تربية المائيات;تقنيات تغذية ذكية للأسماك باستخدام أجهزة استشعار وتحليل بيانات.
47;Aquabyte;;تربية الأسماك;كاميرات ذكاء اصطناعي لمراقبة صحة الأسماك في مزارع الأحياء المائية.
48;BlueNalu;;الاقتصاد الأزرق;إنتاج مأكولات بحرية من خلايا حيوانية دون صيد.
49;Upside Foods;;اللحوم المزروعة;إنتاج لحوم في المختبر باستخدام تقنيات زراعة الخلايا.
50;Eat Just;;البيوتكنولوجيا الغذائية;منتجات غذائية نباتية وبيض بديل يعتمد البروتين النباتي.
51;BlockFi;;التكنولوجيا المالية;منصة خدمات مالية تعتمد العملات المشفرة والإقراض الرقمي.
52;Coinbase;;FinTech / Crypto;منصة تداول العملات الرقمية والبنية التحتية لاقتصاد البلوكشين.
53;Chainalysis;;تحليل البلوكشين;تحليل معاملات العملات الرقمية لأغراض الامتثال ومكافحة الجرائم المالية.
54;OpenSea Pro;;التجارة الرقمية;سوق متقدم للأصول الرقمية يعتمد تقنيات البلوكشين.
55;Shopify Spinouts;;التجارة الالكترونية;شركات ناشئة تطور أدوات للتجارة الإلكترونية وإدارة المتاجر الرقمية.
56;Faire;;التجارة الالكترونية B2B;منصة تربط تجار الجملة بالتجزئة عبر الإنترنت.
57;Flexport;;اللوجستيات الذكية;إدارة الشحن الدولي باستخدام منصات رقمية وتحليل بيانات.
58;Procore;;الاشغال العمومية;برمجيات إدارة مشاريع البناء والبنية التحتية.
59;Katerra;;الهندسة المعمارية;تكنولوجيا بناء تعتمد التصنيع المسبق والهندسة الرقمية.
60;ICON Build;;البناء بالطباعة ثلاثية الأبعاد;بناء منازل باستخدام طباعة ثلاثية الأبعاد للخرسانة.
61;Vicarious Surgical;;الروبوتات الطبية;أنظمة جراحية روبوتية مدعومة بالذكاء الاصطناعي.
62;Pear Therapeutics;;العلاج الرقمي;تطوير علاجات رقمية معتمدة سريرياً عبر تطبيقات طبية.
63;Butterfly Network;;الأجهزة الطبية;جهاز تصوير بالموجات فوق الصوتية محمول يعتمد الذكاء الاصطناعي.
64;K Health;;الطب بالذكاء الاصطناعي;تشخيص أولي للأمراض باستخدام تحليل بيانات طبية ضخمة.
65;PathAI;;تحليل الصور الطبية;خوارزميات ذكاء اصطناعي لتحليل الشرائح المرضية في المختبرات.
66;Vetster;;الطب البيطري الرقمي;منصة استشارات بيطرية عبر الإنترنت للحيوانات الأليفة.
67;Ouro Labs;;الصحة الحيوانية;تقنيات تشخيص رقمية للطب البيطري.
68;NanoXplore;;النانوتكنولوجيا;مواد نانوية متقدمة تستخدم في الطاقة والإلكترونيات.
69;Nano Dimension;;الالكترونيات النانوية;تصنيع دوائر إلكترونية باستخدام تقنيات نانوية وطباعة ثلاثية الأبعاد.
70;PsiQuantum;;الحوسبة الكمومية;تطوير حواسيب كمومية تعتمد الفوتونات لحل مسائل صناعية معقدة.
71;الشركة الناشئة;;المجال;وصف النشاط (≈20 كلمة)
72;AssemblyAI;;الذكاء الاصطناعي;منصة ذكاء اصطناعي لتحويل الصوت إلى نص وتحليل الكلام لاستخدامه في التطبيقات الرقمية وخدمات العملاء.
73;Character.ai;;الذكاء الاصطناعي التفاعلي;تطوير وكلاء محادثة ذكية تحاكي شخصيات بشرية وتستخدم في التعليم والترفيه وخدمة العملاء.
74;Cresta AI;;ذكاء اصطناعي لخدمة العملاء;تحليل مكالمات العملاء وتقديم اقتراحات فورية للوكلاء لتحسين الأداء والمبيعات.
75;Glean;;برمجيات ذكية;محرك بحث معرفي داخل المؤسسات يجمع البيانات من التطبيقات المختلفة ويقدم إجابات ذكية للموظفين.
76;Harvey AI;;الذكاء الاصطناعي القانوني;منصة ذكاء اصطناعي تساعد مكاتب المحاماة على تحليل العقود وإعداد الوثائق القانونية بسرعة.
77;Inworld AI;;الذكاء الاصطناعي للألعاب;إنشاء شخصيات افتراضية ذكية تتفاعل مع اللاعبين في ألعاب الفيديو والواقع الافتراضي.
78;Jasper AI;;ذكاء اصطناعي للتسويق;منصة إنشاء محتوى تسويقي آلي باستخدام نماذج الذكاء الاصطناعي التوليدي.
79;Observe.AI;;تحليل المحادثات;تحليل مكالمات مراكز الاتصال لتحسين تجربة العملاء باستخدام الذكاء الاصطناعي.
80;Descript;;البرمجيات الذكية;أداة تحرير فيديو وصوت تعتمد الذكاء الاصطناعي لتحرير المحتوى بسهولة باستخدام النصوص.
81;Luma AI;;الذكاء الاصطناعي ثلاثي الأبعاد;إنشاء نماذج ثلاثية الأبعاد من الصور والفيديو باستخدام تقنيات الرؤية الحاسوبية.
82;Deep Instinct;;الأمن السيبراني;تستخدم التعلم العميق لاكتشاف البرمجيات الخبيثة والهجمات السيبرانية قبل حدوثها. 
83;Blink Ops;;الأمن السيبراني;منصة أتمتة العمليات الأمنية باستخدام الذكاء الاصطناعي لتسريع الاستجابة للهجمات.
84;Torq Security;;الأمن السيبراني;أتمتة عمليات الأمن السيبراني وربط أدوات الحماية المختلفة في منصة واحدة.
85;Protexxa;;الأمن السيبراني;منصة ذكاء اصطناعي لتقييم مخاطر الأمن السيبراني داخل المؤسسات.
86;Tenex.ai;;الأمن السيبراني;خدمة كشف واستجابة للتهديدات تعتمد الذكاء الاصطناعي والتحليل البشري. 
87;Cribl;;برمجيات تحليل البيانات;منصة لإدارة وتحليل بيانات أنظمة تكنولوجيا المعلومات والأمن السيبراني داخل المؤسسات. 
88;Mercor;;الذكاء الاصطناعي للتوظيف;منصة تستخدم الذكاء الاصطناعي لاختيار الخبراء والمهندسين لتدريب نماذج الذكاء الاصطناعي. 
89;Alice AI Safety;;سلامة الذكاء الاصطناعي;مراقبة المحتوى الضار والتضليل على المنصات الرقمية باستخدام خوارزميات ذكاء اصطناعي. 
90;Basis Theory;;FinTech;بنية تحتية لتأمين البيانات المالية الحساسة وتسهيل المدفوعات الرقمية.
91;Allium Labs;;تحليل بيانات البلوكشين;تحليل بيانات البلوكشين لدعم الشركات المالية والتطبيقات اللامركزية.
92;Atlas Finance;;التكنولوجيا المالية;منصة خدمات مالية للشركات الناشئة تعتمد البنية التحتية السحابية.
93;Benable;;التجارة الاجتماعية;منصة تربط صناع المحتوى بمنتجات التجارة الإلكترونية لتحقيق الدخل من التوصيات.
94;Conduit;;المدفوعات الرقمية;بنية تحتية مالية تسمح للشركات بإدارة المدفوعات العالمية بسهولة.
95;Prepared;;الذكاء الاصطناعي للطوارئ;تحليل مكالمات الطوارئ باستخدام الذكاء الاصطناعي لتحسين استجابة خدمات الإنقاذ.
96;Replit;;البرمجيات الذكية;منصة تطوير تطبيقات سحابية تسمح بإنشاء البرمجيات باستخدام أوامر نصية بسيطة. 
97;StackBlitz;;تطوير البرمجيات;بيئة تطوير متكاملة على الإنترنت لتطوير تطبيقات الويب بسرعة. 
98;Poolside AI;;الذكاء الاصطناعي للبرمجة;تطوير نماذج ذكاء اصطناعي متخصصة في كتابة الكود البرمجي. 
99;Cursor AI;;مساعد برمجي;محرر كود يعتمد الذكاء الاصطناعي لمساعدة المطورين في كتابة البرامج. 
100;OpenRouter;;بنية تحتية للذكاء الاصطناعي;منصة تسمح للمطورين بالوصول إلى نماذج الذكاء الاصطناعي المختلفة عبر واجهة موحدة.
101;LiveKit;;البنية التحتية للتطبيقات;منصة لبناء تطبيقات الاتصال الصوتي والفيديو في الزمن الحقيقي.
102;Heron Power;;الطاقة النظيفة;تطوير أنظمة تخزين طاقة متقدمة لدعم الشبكات الكهربائية المتجددة.
103;Emerald AI;;إدارة الطاقة;خوارزميات ذكاء اصطناعي لإدارة استهلاك الطاقة في المباني والصناعة.
104;Terra AI Energy;;الطاقة المتجددة;تحليل بيانات الطاقة الشمسية والرياح لتحسين إنتاج الكهرباء المتجددة.
105;Tyba Energy;;الطاقة الذكية;برمجيات لإدارة بطاريات تخزين الطاقة وتحسين أداء الشبكات الكهربائية.
106;Glimpse Energy;;تقنيات الطاقة;تحليل بيانات الطاقة للمرافق الصناعية باستخدام الذكاء الاصطناعي.
107;The Nuclear Company;;الطاقة النووية المتقدمة;تصميم مفاعلات نووية صغيرة لتوليد كهرباء منخفضة الانبعاثات.
108;Formic Technologies;;الروبوتات الصناعية;تأجير روبوتات صناعية للشركات الصغيرة والمتوسطة بنموذج الاشتراك.
109;Bright Machines;;التصنيع الذكي;أتمتة خطوط الإنتاج باستخدام الروبوتات والذكاء الاصطناعي.
110;Vention;;التصنيع الرقمي;منصة تصميم وتجميع آلات صناعية باستخدام مكونات معيارية.
111;Rapid Robotics;;الروبوتات الصناعية;روبوتات سهلة البرمجة لأتمتة المهام الصناعية المتكررة.
112;Carbon Robotics;;الزراعة الذكية;روبوتات تستخدم الليزر للقضاء على الأعشاب الضارة في الحقول الزراعية.
113;Farm-ng;;الروبوتات الزراعية;روبوتات زراعية صغيرة تساعد المزارعين في إدارة الحقول.
114;CropX;;الري الذكي;تحليل بيانات التربة لتحديد احتياجات الري وتحسين إنتاجية المحاصيل.
115;Arable Labs;;الزراعة الرقمية;أجهزة استشعار لمراقبة المناخ الزراعي وتحليل البيانات الزراعية.
116;Taranis;;الزراعة الدقيقة;تحليل صور الطائرات المسيرة لتشخيص مشاكل المحاصيل بدقة.
117;NotCo;;البيوتكنولوجيا الغذائية;تصميم منتجات غذائية نباتية باستخدام خوارزميات ذكاء اصطناعي لتحليل المكونات.
118;Perfect Day;;البروتينات الحيوية;إنتاج بروتينات الحليب باستخدام التخمير الدقيق دون تربية الأبقار.
119;Memphis Meats;;اللحوم المزروعة;إنتاج لحوم في المختبر باستخدام تقنيات زراعة الخلايا الحيوانية.
120;Sana Biotechnology;;العلاج الجيني;تطوير علاجات خلوية وجينية للأمراض المزمنة والمستعصية.
121;Insitro;;الذكاء الاصطناعي الدوائي;استخدام تعلم الآلة لتحليل البيانات البيولوجية وتسريع اكتشاف الأدوية.
122;Owkin;;الذكاء الاصطناعي الطبي;تحليل بيانات المرضى باستخدام التعلم الآلي لتحسين اكتشاف الأدوية.
123;Atomwise;;اكتشاف الأدوية;استخدام الذكاء الاصطناعي لتحليل ملايين الجزيئات واكتشاف أدوية جديدة.
124;Tempus AI;;الطب الدقيق;تحليل البيانات الجينية والسريرية لتطوير علاجات مخصصة للسرطان.
125;Hippocratic AI;;الذكاء الاصطناعي الصحي;تطوير وكلاء ذكاء اصطناعي لدعم الأطباء في تقديم الرعاية الصحية.
126;PrognomIQ;;تشخيص السرطان;اختبارات دم متقدمة للكشف المبكر عن السرطان.
127;Freenome;;التشخيص الجزيئي;تحليل الدم باستخدام الذكاء الاصطناعي للكشف المبكر عن السرطان.
128;Guardant Health;;الطب الجينومي;تحليل الحمض النووي في الدم للكشف عن الأورام السرطانية.
129;Gallant;;البيوتكنولوجيا البيطرية;علاجات خلوية للحيوانات الأليفة لعلاج الأمراض المزمنة.
130;PetDx;;تشخيص السرطان للحيوانات;اختبارات دم للكشف المبكر عن السرطان لدى الكلاب.
131;Mammoth Biosciences;;الهندسة الجينية;تطوير تقنيات CRISPR لتشخيص الأمراض والعلاج الجيني.
132;Synthego;;الهندسة الجينية;إنتاج أدوات CRISPR لتحرير الجينات في الأبحاث البيولوجية.
133;Grail;;الكشف المبكر عن السرطان;اختبارات دم للكشف عن عدة أنواع من السرطان.
134;NanoGraf;;بطاريات الليثيوم;تطوير مواد أنود متقدمة لبطاريات الليثيوم عالية الكفاءة.
135;Sila Nanotechnologies;;بطاريات السيارات الكهربائية;مواد سيليكون متقدمة لتحسين أداء بطاريات الليثيوم.
136;Amprius Technologies;;بطاريات عالية الكثافة;بطاريات سيليكون متقدمة للطائرات المسيرة والسيارات الكهربائية.
137;StoreDot;;بطاريات الشحن السريع;تطوير بطاريات سيارات كهربائية قابلة للشحن خلال دقائق.
138;Factorial Energy;;بطاريات الحالة الصلبة;بطاريات ليثيوم صلبة للجيل القادم من السيارات الكهربائية.
139;ICON Technology;;البناء بالطباعة ثلاثية الأبعاد;طباعة منازل خرسانية ثلاثية الأبعاد بسرعة وتكلفة منخفضة.
140;Buildots;;تقنيات البناء;تحليل مواقع البناء باستخدام الرؤية الحاسوبية لتحسين إدارة المشاريع.
141;Dusty Robotics;;الروبوتات في البناء;روبوتات ترسم مخططات البناء على الأرضيات بدقة.
142;Branch Technology;;العمارة الرقمية;طباعة هياكل معمارية باستخدام تقنيات التصنيع المتقدم.
143;TestFit;;الذكاء الاصطناعي المعماري;برمجيات تخطيط عمراني تعتمد الذكاء الاصطناعي لتصميم المشاريع العقارية.
144;Archistar;;التخطيط الحضري;منصة ذكاء اصطناعي تساعد المهندسين على تصميم مشاريع البناء بسرعة.
145;Spacemaker AI;;تخطيط المدن;تحليل بيانات البيئة لتصميم مدن أكثر استدامة.
146;Cove.Tool;;الهندسة المستدامة;تحليل استهلاك الطاقة في المباني باستخدام الذكاء الاصطناعي.
147;Samsara;;إنترنت الأشياء الصناعي;منصة بيانات لإنترنت الأشياء لمراقبة المعدات الصناعية.
148;Uptake;;تحليل البيانات الصناعية;تحليل بيانات الآلات الثقيلة للتنبؤ بالأعطال.
149;C3 AI;;الذكاء الاصطناعي الصناعي;تطوير تطبيقات ذكاء اصطناعي لإدارة العمليات الصناعية والطاقة.
150;SparkCognition;;الذكاء الاصطناعي الصناعي;تحليل البيانات الصناعية لتوقع الأعطال وتحسين الإنتاج.
151;Seeq;;تحليل البيانات الصناعية;برمجيات تحليل البيانات للعمليات الصناعية والطاقة.
152;Palmetto;;الطاقة الشمسية;منصة تمويل وتركيب أنظمة الطاقة الشمسية للمنازل.
153;Sunrun Labs;;الطاقة الشمسية;تطوير حلول تخزين الطاقة المنزلية المرتبطة بالطاقة الشمسية.
154;Span IO;;الشبكات الكهربائية الذكية;لوحات كهربائية ذكية لإدارة استهلاك الطاقة في المنازل.
155;Sense Labs;;إنترنت الأشياء للطاقة;تحليل استهلاك الكهرباء في المنازل باستخدام أجهزة استشعار.
156;Auterion;;الطائرات المسيرة;برمجيات مفتوحة المصدر للتحكم في الطائرات المسيرة.
157;Skydio;;الطائرات المسيرة;تصنيع طائرات مسيرة ذاتية القيادة تعتمد الذكاء الاصطناعي.
158;Shield AI;;الذكاء الاصطناعي الدفاعي;تطوير طائرات مسيرة عسكرية تعمل بأنظمة ذكاء اصطناعي.
159;Saronic;;الروبوتات البحرية;مركبات بحرية ذاتية القيادة للعمليات الدفاعية والاستكشاف.
160;Saildrone;;الاقتصاد الأزرق;طائرات بحرية بدون طيار لجمع البيانات المناخية والمحيطية.
161;Ocean Aero;;الروبوتات البحرية;مركبات بحرية تعمل بالطاقة الشمسية لمراقبة المحيطات.
162;eDNAtec;;البيولوجيا البحرية;تحليل الحمض النووي البيئي لمراقبة التنوع البيولوجي البحري.
163;Aquaai;;تربية المائيات;روبوتات تشبه الأسماك لمراقبة مزارع الأسماك والبيئة البحرية.
164;Finless Foods;;اللحوم البحرية المزروعة;إنتاج أسماك مزروعة في المختبر دون صيد بحري.
165;Blue Ocean Gear;;تكنولوجيا الصيد;أجهزة تعقب ذكية لشباك الصيد لمنع فقدانها في المحيطات.
166;Sea Machines;;الملاحة البحرية الذاتية;أنظمة قيادة ذاتية للسفن التجارية.
167;Nautilus Labs;;تحليل البيانات البحرية;تحليل بيانات الشحن البحري لتحسين كفاءة الوقود وتقليل الانبعاثات.
168;Orchard Robotics;;الفلاحة الذكية;أنظمة رؤية حاسوبية لتحليل صحة الأشجار المثمرة وقياس الإنتاج الزراعي بدقة عالية. 
169;Verdant Robotics;;الزراعة الدقيقة;روبوتات زراعية تستخدم الذكاء الاصطناعي لرش المبيدات والأسمدة بدقة على النباتات.
170;Aigen Robotics;;الزراعة الآلية;روبوتات تعمل بالطاقة الشمسية لإزالة الأعشاب الضارة في الحقول دون استخدام مبيدات.
171;Iron Ox;;الزراعة الآلية;مزارع روبوتية داخلية تعتمد الذكاء الاصطناعي لإنتاج الخضروات في بيئات خاضعة للتحكم.
172;FarmSense;;الزراعة الرقمية;أجهزة استشعار ذكية لمراقبة الآفات الزراعية وتحليل بيانات الحقول.
173;Biome Makers;;الميكروبيولوجيا الزراعية;تحليل ميكروبات التربة لتحسين صحة التربة وإنتاجية المحاصيل.
174;Trace Genomics;;تحليل التربة;تحليل الحمض النووي للتربة لفهم صحة النظام البيئي الزراعي.
175;Heliae Agriculture;;البيوتكنولوجيا الزراعية;منتجات بيولوجية من الطحالب لتحسين نمو النباتات وإنتاج المحاصيل.
176;Benson Hill;;البيوتكنولوجيا الزراعية;تحسين المحاصيل باستخدام تحليل الجينات والذكاء الاصطناعي.
177;Indigo Carbon;;الزراعة الكربونية;مساعدة المزارعين على تقليل انبعاثات الكربون وبيع أرصدة الكربون.
178;Agtonomy;;الزراعة الذاتية;أنظمة قيادة ذاتية للجرارات والمعدات الزراعية.
179;Naïo Technologies US;;الروبوتات الزراعية;روبوتات لإزالة الأعشاب الضارة في المزارع العضوية.
180;Sabanto;;الزراعة الذاتية;تحويل الجرارات التقليدية إلى جرارات ذاتية القيادة.
181;Monarch Tractor;;الجرارات الكهربائية;تصنيع جرارات كهربائية ذاتية القيادة للمزارع الذكية.
182;Orbio Earth;;البيوتكنولوجيا البيئية;تطوير حلول بيولوجية لتنظيف التربة الملوثة.
183;Ocean Farm Technologies;;تربية المائيات;أنظمة مراقبة ذكية لمزارع الأسماك في البحر.
184;Aquaconnect NA;;الاقتصاد الأزرق;تحليل بيانات مزارع الأسماك باستخدام الذكاء الاصطناعي.
185;Blue Ocean Barns;;البيوتكنولوجيا الحيوانية;مكملات غذائية للماشية تقلل انبعاثات الميثان.
186;Wildtype Foods;;المأكولات البحرية المزروعة;إنتاج سمك مزروع في المختبر باستخدام تقنيات زراعة الخلايا.
187;Cellular Agriculture Canada Labs;;اللحوم المزروعة;تطوير بروتينات حيوانية من الخلايا دون تربية الحيوانات.
188;Triton Algae Innovations;;الطحالب الصناعية;إنتاج بروتينات غذائية من الطحالب.
189;Helaina;;البيوتكنولوجيا الغذائية;إنتاج بروتينات بشرية في الغذاء باستخدام التخمير الدقيق.
190;Opentrons;;الروبوتات البيولوجية;روبوتات مختبرية مفتوحة المصدر لمعالجة السوائل في التجارب البيوكيميائية. 
191;Emerald Cloud Lab;;المختبرات السحابية;مختبرات يمكن التحكم فيها عن بعد عبر الإنترنت لإجراء التجارب البيولوجية والكيميائية. 
192;Strateos;;المختبرات الآلية;أتمتة التجارب البيولوجية باستخدام روبوتات المختبرات.
193;Culture Biosciences;;البيوتكنولوجيا;منصة تخمير سحابية لتطوير الأدوية والمواد البيولوجية.
194;BenchSci;;الذكاء الاصطناعي البيولوجي;تحليل البيانات البيولوجية لتسريع اكتشاف الأدوية.
195;Deep Genomics;;الذكاء الاصطناعي الجيني;تحليل الطفرات الجينية باستخدام تعلم الآلة لتطوير الأدوية.
196;Generate Biomedicines;;الهندسة البروتينية;تصميم بروتينات علاجية باستخدام الذكاء الاصطناعي.
197;GenBio AI;;البيوتكنولوجيا والذكاء الاصطناعي;محاكاة العمليات البيولوجية رقمياً لتحليل الحمض النووي والبروتينات والخلايا. 
198;Vilya Bio;;اكتشاف الأدوية;تصميم جزيئات علاجية جديدة باستخدام الذكاء الاصطناعي.
199;AbCellera;;البيوتكنولوجيا الطبية;اكتشاف الأجسام المضادة باستخدام تحليل بيانات حيوية متقدمة.
200;BigHat Biosciences;;الهندسة البروتينية;تصميم الأجسام المضادة باستخدام الذكاء الاصطناعي.
201;Caribou Biosciences;;العلاج الجيني;تطوير علاجات خلوية باستخدام تحرير الجينات.
202;Ginkgo Bioworks Spinouts;;البيولوجيا الاصطناعية;شركات ناشئة تطور ميكروبات لإنتاج مواد صناعية.
203;Lygos;;البيوتكنولوجيا الصناعية;إنتاج مواد كيميائية مستدامة باستخدام الكائنات الدقيقة.
204;Solugen;;الكيمياء الحيوية;إنتاج مواد كيميائية صناعية من السكر باستخدام الإنزيمات.
205;Zymergen Spinouts;;البيولوجيا الصناعية;تطوير مواد جديدة باستخدام الميكروبات والهندسة الجينية.
206;Modern Meadow;;البيوتكنولوجيا الصناعية;إنتاج مواد تشبه الجلد باستخدام الهندسة الحيوية.
207;Bolt Threads;;المواد الحيوية;إنتاج ألياف صناعية من البروتينات المستخرجة من الفطريات.
208;MycoWorks;;المواد الحيوية;إنتاج مواد جلدية من الفطريات للاستخدام في الموضة والصناعة.
209;Built Robotics;;الروبوتات في البناء;تحويل معدات البناء الثقيلة إلى معدات ذاتية القيادة باستخدام الذكاء الاصطناعي. 
210;Toggle Robotics;;الروبوتات الإنشائية;روبوتات لبناء الهياكل الخرسانية والمعدنية.
211;Hadrian;;البناء الآلي;روبوتات بناء آلية لبناء الجدران بالطوب بسرعة عالية.
212;Canvas Construction;;الروبوتات الإنشائية;روبوتات لإنهاء الجدران الداخلية في المباني.
213;Mighty Buildings;;البناء المتقدم;منازل مطبوعة ثلاثياً باستخدام مواد مركبة.
214;Kewazo;;الروبوتات الصناعية;روبوتات تسلق السقالات لنقل مواد البناء.
215;Skycatch;;تحليل مواقع البناء;تحليل بيانات الطائرات المسيرة لمراقبة مشاريع البناء.
216;DroneDeploy;;تحليل الصور الجوية;تحليل صور الطائرات المسيرة لمراقبة البنية التحتية.
217;Volta Robots;;الروبوتات الذكية;روبوتات قص العشب تعمل بالرؤية الحاسوبية والذكاء الاصطناعي. 
218;Bear Robotics;;الروبوتات الخدمية;روبوتات لخدمة المطاعم والفنادق.
219;Serve Robotics;;الروبوتات اللوجستية;روبوتات توصيل الطعام في المدن.
